state,x,y
Andhra Pradesh,-77,-222
Arunachal Pradesh,293,174
Assam,262,117
Bihar,80,86
Chhattisgarh,4,-36
Goa,-217,-202
Gujarat,-261,11
Haryana,-145,187
Himachal Pradesh,-132,263
Kashmir,-170,304
Jharkhand,83,20
Karnataka,-170,-224
Uttar Pradesh, -37, 124
Uttarakhand, -77, 217
Rajasthan, -244, 116
Tamil Nadu, -85, -322
Kerala, -161, -314
Madhya Pradesh, -101, 22
Maharashtra, -209, -91
West Bengal, 140, 9
Telangana, -81, -129
Odisha, 71, -57
Sikkim, 151, 142
Punjab, -177, 241
Ladakh, -109, 317
Nagaland, 327, 143
Meghalaya, 216, 85
Manipur, 301, 113
Tripura, 235, 37
